food_item,cal,protein,fat,carbs,preservation,category
apple,52,0.3,0.2,14,5–7,Fruit
banana,89,1.1,0.3,23,3–5,Fruit
orange,47,0.9,0.1,12,7–10,Fruit
mango,60,0.8,0.4,15,4–6,Fruit
grapes,67,0.6,0.4,17,5–7,Fruit
pomegranate,83,1.7,1.2,19,15–30,Fruit
strawberry,32,0.7,0.3,8,2–3,Fruit
watermelon,30,0.6,0.2,8,5–7,Fruit
pineapple,50,0.5,0.1,13,3–5,Fruit
tomato,18,0.9,0.2,4,4–6,Vegetable
potato,77,2.0,0.1,17,30–60,Vegetable
onion,40,1.1,0.1,9,30–60,Vegetable
carrot,41,0.9,0.2,10,14–21,Vegetable
cabbage,25,1.3,0.1,6,7–14,Vegetable
cucumber,15,0.7,0.1,4,7–10,Vegetable
broccoli,34,2.8,0.4,7,5–7,Vegetable
milk,42,3.4,1.0,5,5–7,Dairy
cheese,402,25.0,33.0,1.3,7–14,Dairy
yogurt,59,3.5,3.3,4.7,7–10,Dairy
butter,717,0.9,81.0,0.1,30–60,Dairy
rice,130,2.7,0.3,28,1–2,Grain
wheat,339,13.7,2.5,71,180+,Grain
bread,265,9.0,3.2,49,5–7,Grain
egg,155,13.0,11.0,1.1,21–28,Protein
chicken,165,31.0,3.6,0,2–3,Protein
fish,208,20.0,12.0,0,1–2,Protein
chips,536,7.0,35.0,53,30–60,Snack
biscuit,453,6.0,18.0,68,90–180,Snack
burger,295,17.0,14.0,24,1–2,Fast Food
pizza,266,11.0,10.0,33,3–4,Fast Food
hotdog,290,11.0,26.0,2,1–2,Fast Food
ice_cream,207,3.5,11.0,24,30+,Dessert
